alt T rho windN windE
57000   254.1   4.91E-04   0.0   -0.56
58000   251.5   4.34E-04   0.0   0.27
59000   248.9   3.85E-04   0.0   1.11
60000   246.3   3.41E-04   0.0   1.95
61000   244.2   3.00E-04   0.0   2.94
62000   242.1   2.64E-04   0.0   3.94
63000   240   2.32E-04   0.0   4.94
64000   237.9   2.04E-04   0.0   5.93
65000   235.7   1.80E-04   0.0   6.93
66000   233.6   1.58E-04   0.0   8.07
67000   231.4   1.38E-04   0.0   9.2
68000   229.2   1.21E-04   0.0   10.34
69000   227   1.06E-04   0.0   11.48
70000   224.8   9.31E-05   0.0   12.62
71000   222.9   8.07E-05   0.0   13.73
72000   221.1   6.99E-05   0.0   14.84
73000   219.2   6.06E-05   0.0   15.96
74000   217.3   5.25E-05   0.0   17.07
75000   215.4   4.55E-05   0.0   18.19
76000   213.7   3.83E-05   0.0   18.09
77000   212.1   3.22E-05   0.0   18
78000   210.5   2.71E-05   0.0   17.91
79000   208.9   2.28E-05   0.0   17.82
80000   207.3   1.92E-05   0.0   17.73
81000   205.2   1.62E-05   0.0   15.12
82000   203.1   1.37E-05   0.0   12.5
83000   201   1.16E-05   0.0   9.89
84000   198.9   9.83E-06   0.0   7.28
85000   196.8   8.32E-06   0.0   4.67
86000   194.2   7.05E-06   0.0   1.6
87000   191.6   5.98E-06   0.0   -1.47
88000   189   5.07E-06   0.0   -4.53
89000   186.4   4.30E-06   0.0   -7.6
90000   183.8   3.65E-06   0.0   -10.67
91000   183.1   3.06E-06   0.0   -13.54
92000   182.4   2.56E-06   0.0   -16.41
93000   181.6   2.14E-06   0.0   -19.28
94000   180.9   1.79E-06   0.0   -22.15
95000   180.1   1.50E-06   0.0   -25.02
96000   181.3   1.25E-06   0.0   -27
97000   182.5   1.04E-06   0.0   -28.99
98000   183.7   8.69E-07   0.0   -30.97
99000   184.8   7.25E-07   0.0   -32.95
100000   186   6.04E-07   0.0   -34.94
101000   189.6   5.05E-07   0.0   -34.6
102000   193.3   4.22E-07   0.0   -34.27
103000   196.9   3.53E-07   0.0   -33.94
104000   200.5   2.96E-07   0.0   -33.6
105000   204.2   2.48E-07   0.0   -33.27
106000   211.6   2.08E-07   0.0   -30.84
107000   219.1   1.75E-07   0.0   -28.4
108000   226.6   1.47E-07   0.0   -25.97
109000   234   1.24E-07   0.0   -23.53
110000   241.5   1.04E-07   0.0   -21.1
111000   255.1   8.86E-08   0.0   -18.52
112000   268.8   7.54E-08   0.0   -15.95
113000   282.5   6.43E-08   0.0   -13.37
114000   296.1   5.50E-08   0.0   -10.8
115000   309.8   4.71E-08   0.0   -8.23
116000   324.8   4.13E-08   0.0   -7.47
117000   339.9   3.63E-08   0.0   -6.71
118000   355   3.19E-08   0.0   -5.95
119000   370   2.81E-08   0.0   -5.2
120000   385.1   2.48E-08   0.0   -4.44
9999999   655   3.83E-09   0.0   0
            
            
            
            
            
            
            
            
            
            
            
            
            
